IMDB ID,TMDB ID,Platform,Query
tt5997928,413727,instagram,muktibhawanchalo
tt7984734,503919,instagram,TheLighthouse
tt8772262,530385,instagram,Midsommar
tt4353250,522039,instagram,LastBlackManinSF
tt8772262,530385,instagram,MIDSOMMAR
tt5997928,413727,instagram,muktibhawan
tt7510222,519182,instagram,dm4
tt10633456,615643,instagram,Minari
tt9362722,569094,instagram,spidermanacrossthespiderverse
tt9362722,569094,instagram,SpiderVerse
tt28259207,1160018,instagram,killmovie
tt1785333,109221,instagram,chittagongmovie
tt8772262,530385,instagram,midsommar
tt5918074,408624,instagram,inthegunj
tt3043252,352205,instagram,parchedmovie
tt5727208,473033,instagram,UncutGems
tt5918074,408624,instagram,adeathinthegunj
,82856,instagram,TheMandalorian
tt4353250,522039,instagram,TheLastBlackManInSanFrancisco
tt13238346,666277,instagram,PastLives
tt4353250,522039,instagram,LastBlackManSF
tt5918074,408624,instagram,ADeathInTheGunj
tt23804378,1052873,instagram,threeofus
tt2350496,191714,instagram,lunchboxmovie
tt2350496,191714,instagram,thelunchboxmovie
tt13449254,997398,instagram,GoldFishMovie
tt10196464,643807,instagram,ramprasadkitehrvi
tt10196464,643807,instagram,ramprasadkitehrvifilm
tt6920356,473019,instagram,TheSouvenir
tt6997642,479476,instagram,ribbonmovie
tt10243678,601801,instagram,chopsticksmovie
tt3614516,241882,instagram,DrishyamFilms
tt4635372,336203,instagram,masaan
tt1773764,128207,instagram,shipoftheseus
tt9356952,565383,instagram,DeathofDickLong
tt1639426,45316,instagram,udaanmovie
tt3614516,241882,instagram,AnkhonDekhi
tt7557108,575776,instagram,SaintMaud
tt9606374,575417,instagram,ONTHEROCKSMOVIE
tt11095742,653723,instagram,BoysStateMovie
tt19770238,965150,instagram,AftersunMovie
tt21064584,850165,instagram,TheIronClaw
tt21942866,823482,instagram,DreamScenario
tt21942866,823482,instagram,dreamscenario
tt22041854,1020006,instagram,PriscillaMovie
tt7160372,467244,instagram,TheZoneofInterest
tt8110652,520023,instagram,BodiesBodiesBodies
tt6710474,545611,instagram,EverythingEverywhere
tt6710474,545611,instagram,everythingeverywhere
tt6710474,545611,instagram,EverythingEverywhereAllAtOnce
tt18925334,949423,instagram,pearlmovie
tt13521006,798286,instagram,BeauIsAfraid
tt8633464,585378,instagram,AfterYang
tt15339456,869626,instagram,MarcelTheShell
tt10986222,632617,instagram,CmonCmon
tt9243804,559907,instagram,TheGreenKnight
tt9660502,901563,instagram,CloseMovie
tt6992978,473021,instagram,TheSouvenir
tt10638522,1008042,instagram,TalkToMe
tt10095582,591538,instagram,thetragedyofmacbeth
,194766,instagram,thesummeriturnedpretty
tt13495458,837938,instagram,TheInspection
tt13833688,785084,instagram,TheWhale
tt15771916,890215,instagram,YouHurtMyFeelings
tt10375396,828558,instagram,godscreaturesmovie
tt10192406,595586,instagram,causewaymovie
tt15574270,858017,instagram,isawthetvglow
tt15210256,860278,instagram,stephencurryunderrated
tt8174412,583095,instagram,funnypagesmovie
tt13923216,790416,instagram,showingupmovie
tt24132732,1058647,instagram,thedeepestbreath
tt15078804,852247,instagram,Problemista
tt19637052,948549,instagram,LoveLiesBleeding
tt21626284,1163194,instagram,laapaataladies
tt17279496,929590,instagram,CivilWarMovie
tt21626284,1163194,instagram,laapataladies
tt7297966,473320,instagram,villagerockstars
,260203,instagram,shekharhomeonjiocinema
tt12263384,697843,instagram,extraction2
tt10276482,758336,instagram,LoveAgainMovie
tt15671028,884605,instagram,NoHardFeelings
tt7405458,937278,instagram,AManCalledOtto
tt11564570,661374,instagram,GlassOnion
tt11564570,661374,instagram,WakeUpDeadMan
tt21626774,1245700,instagram,sector36onnetflix
tt26047818,1072790,instagram,AnyoneButYou
tt26225118,1072693,instagram,PhirAayiHasseenDillruba
tt15979666,975533,instagram,TheArchies
tt15433600,878926,instagram,Khufiya
tt28479262,1155828,instagram,SingSingMovie
,90296,instagram,TokyoVice
tt11057302,634492,instagram,MadameWeb
tt14849194,840430,instagram,TheHoldovers
tt3704428,614934,instagram,ElvisMovie
tt8097030,508947,instagram,TurningRed
tt1488589,555604,instagram,PinocchioMovie
tt13131232,778946,instagram,missionmajnuonnetflix
tt3228774,337404,instagram,Cruella
tt7846844,497582,instagram,enolaholmes
tt10655524,1079091,instagram,ItEndsWithUsMovie
tt8912936,539681,instagram,DCSuperPets
tt16426418,937287,instagram,ChallengersMovie
tt14088510,719221,instagram,TarotMovie
tt27534307,1114513,instagram,SpeakNoEvilMovie
tt11286314,646380,instagram,DontLookUp
tt27489557,1111873,instagram,AbigailTheMovie
,117581,instagram,GinnyAndGeorgia
tt11286314,646380,instagram,DontLookUp
tt12361974,791373,instagram,SnyderCut
,88989,instagram,NinePerfectStrangers
tt7740496,597208,instagram,NightmareAlley
tt3581652,511809,instagram,WestSideStory
tt26753003,1032823,instagram,TrapMovie
tt22408160,1029955,instagram,KindsofKindness
tt1896747,956842,instagram,FlyMeToTheMoon
,60059,instagram,BetterCallSaul
tt15748830,950071,instagram,jaanejaanonnetflix
tt21383812,1045931,instagram,crewonnetflix
tt1684562,746036,instagram,TheFallGuyMovie
tt29268110,1100782,instagram,Smile2
tt27911000,1034541,instagram,Terrifier3
tt9214772,560016,instagram,MonkeyManMovie
tt6166392,787699,instagram,WonkaMovie
tt1160419,438631,instagram,DuneMovie
tt12735488,801688,instagram,Kalki2898AD
,107113,instagram,OMITB
tt13433802,762441,instagram,AQuietPlace
tt26745657,1201015,instagram,madgaonexpress
tt2953050,568124,instagram,Encanto
tt14993250,848116,instagram,rockyaurranikipremkahani
tt15434074,875188,instagram,khogayehumkahanonnetflix
tt27744786,1187619,instagram,shaitaanmovie
tt27744786,1187619,instagram,shaitaanonnetflix
tt21192142,994108,instagram,AllofUsStrangers
tt3228774,337404,instagram,Cruella
tt23561236,1056360,instagram,AmericanFiction
